english_name,scientific_name
Emerald-chinned Hummingbird,Abeillia abeillei
Violet-headed Hummingbird,Klais guimeti
Antillean Crested Hummingbird,Orthorhyncus cristatus
Santa Marta Blossomcrown,Anthocephala floriceps
Tolima Blossomcrown,Anthocephala berlepschi
Green-crowned Plovercrest,Stephanoxis lalandi
Purple-crowned Plovercrest,Stephanoxis loddigesii
Grey-breasted Sabrewing,Campylopterus largipennis
Outcrop Sabrewing,Campylopterus calcirupicola
Diamantina Sabrewing,Campylopterus diamantinensis
Violet Sabrewing,Campylopterus hemileucurus
Rufous-breasted Sabrewing,Campylopterus hyperythrus
Buff-breasted Sabrewing,Campylopterus duidae
Napo Sabrewing,Campylopterus villaviscensio
Lazuline Sabrewing,Campylopterus falcatus
Santa Marta Sabrewing,Campylopterus phainopeplus
White-tailed Sabrewing,Campylopterus ensipennis
Bronze-tailed Plumeleteer,Chalybura urochrysia
White-vented Plumeleteer,Chalybura buffonii
Violet-capped Woodnymph,Thalurania glaucopis
Long-tailed Woodnymph,Thalurania watertonii
Crowned Woodnymph,Thalurania colombica
Fork-tailed Woodnymph,Thalurania furcata
Snowcap,Microchera albocoronata
Coppery-headed Emerald,Microchera cupreiceps
White-tailed Emerald,Microchera chionura
Violet-capped Hummingbird,Goldmania violiceps
Pirre Hummingbird,Goldmania bella
Mexican Woodnymph,Eupherusa ridgwayi
White-tailed Hummingbird,Eupherusa poliocerca
Oaxaca Hummingbird,Eupherusa cyanophrys
Stripe-tailed Hummingbird,Eupherusa eximia
Black-bellied Hummingbird,Eupherusa nigriventris
Buffy Hummingbird,Leucippus fallax
Scaly-breasted Hummingbird,Phaeochroa cuvierii
Spot-throated Hummingbird,Thaumasius taczanowskii
Tumbes Hummingbird,Thaumasius baeri
Many-spotted Hummingbird,Taphrospilus hypostictus
Sombre Hummingbird,Eupetomena cirrochloris
Swallow-tailed Hummingbird,Eupetomena macroura
Olive-spotted Hummingbird,Talaphorus chlorocercus
Red-billed Streamertail,Trochilus polytmus
Black-billed Streamertail,Trochilus scitulus
Violet-crowned Hummingbird,Ramosomyia violiceps
Green-fronted Hummingbird,Ramosomyia viridifrons
Azure-crowned Hummingbird,Saucerottia cyanocephala
Blue-vented Hummingbird,Saucerottia hoffmanni
Berylline Hummingbird,Saucerottia beryllina
Blue-tailed Hummingbird,Saucerottia cyanura
Snowy-bellied Hummingbird,Saucerottia edward
Steely-vented Hummingbird,Saucerottia saucerottei
Indigo-capped Hummingbird,Saucerottia cyanifrons
Chestnut-bellied Hummingbird,Saucerottia castaneiventris
Green-bellied Hummingbird,Saucerottia viridigaster
Copper-tailed Hummingbird,Saucerottia cupreicauda
Copper-rumped Hummingbird,Saucerottia tobaci
Cinnamon Hummingbird,Amazilia rutila
Buff-bellied Hummingbird,Amazilia yucatanensis
Rufous-tailed Hummingbird,Amazilia tzacatl
Honduran Emerald,Amazilia luciae
Amazilia Hummingbird,Amazilis amazilia
Andean Emerald,Uranomitra franciae
Versicolored Emerald,Chrysuronia versicolor
Shining-green Hummingbird,Chrysuronia goudoti
Golden-tailed Sapphire,Chrysuronia oenone
Mangrove Hummingbird,Chrysuronia boucardi
Sapphire-throated Hummingbird,Chrysuronia coeruleogularis
Sapphire-bellied Hummingbird,Chrysuronia lilliae
Humboldt's Sapphire,Chrysuronia humboldtii
Blue-headed Sapphire,Chrysuronia grayi
White-chested Emerald,Chrysuronia brevirostris
Plain-bellied Emerald,Chrysuronia leucogaster
White-throated Hummingbird,Leucochloris albicollis
Sapphire-spangled Emerald,Chionomesa lactea
Glittering-throated Emerald,Chionomesa fimbriata
Rufous-throated Sapphire,Hylocharis sapphirina
Gilded Sapphire,Hylocharis chrysura
Green-and-white Hummingbird,Elliotomyia viridicauda
White-bellied Hummingbird,Elliotomyia chionogaster
Purple-chested Hummingbird,Polyerata rosenbergi
Blue-chested Hummingbird,Polyerata amabilis
Charming Hummingbird,Polyerata decora
White-bellied Emerald,Chlorestes candida
Blue-throated Sapphire,Chlorestes eliciae
White-chinned Sapphire,Chlorestes cyanus
Violet-bellied Hummingbird,Chlorestes julie
Blue-chinned Sapphire,Chlorestes notata
Sri Lanka Bay Owl,Phodilus assimilis
Oriental Bay Owl,Phodilus badius
Sooty Owl,Tyto tenebricosa
Australasian Masked Owl,Tyto novaehollandiae
Golden Masked Owl,Tyto aurantia
Taliabu Masked Owl,Tyto nigrobrunnea
Minahasa Masked Owl,Tyto inexspectata
Sulawesi Masked Owl,Tyto rosenbergii
Itombwe Owl,Tyto prigoginei
Eastern Grass Owl,Tyto longimembris
African Grass Owl,Tyto capensis
Western Barn Owl,Tyto alba
Eastern Barn Owl,Tyto javanica
American Barn Owl,Tyto furcata
Andaman Masked Owl,Tyto deroepstorffi
Ashy-faced Owl,Tyto glaucops
Red Owl,Tyto soumagnei
Papuan Hawk-Owl,Uroglaux dimorpha
Bare-legged Owl,Margarobyas lawrencii
Rufous Owl,Ninox rufa
Powerful Owl,Ninox strenua
Barking Owl,Ninox connivens
Great Sumba Boobook,Ninox rudolfi
Andaman Boobook,Ninox affinis
Australian Boobook,Ninox boobook
Rote Boobook,Ninox rotiensis
Timor Boobook,Ninox fusca
Alor Boobook,Ninox plesseni
Tasmanian Boobook,Ninox leucopsis
Morepork,Ninox novaeseelandiae
Little Sumba Boobook,Ninox sumbaensis
Brown Boobook,Ninox scutulata
Hume's Boobook,Ninox obscura
Northern Boobook,Ninox japonica
Chocolate Boobook,Ninox randi
Luzon Boobook,Ninox philippensis
Mindanao Boobook,Ninox spilocephala
Mindoro Boobook,Ninox mindorensis
Romblon Boobook,Ninox spilonotus
Cebu Boobook,Ninox rumseyi
Camiguin Boobook,Ninox leventisi
Sulu Boobook,Ninox reyi
Ochre-bellied Boobook,Ninox ochracea
Togian Boobook,Ninox burhani
Cinnabar Boobook,Ninox ios
Halmahera Boobook,Ninox hypogramma
Tanimbar Boobook,Ninox forbesi
Seram Boobook,Ninox squamipila
Buru Boobook,Ninox hantu
Christmas Boobook,Ninox natalis
Papuan Boobook,Ninox theomacha
Manus Boobook,Ninox meeki
Speckled Boobook,Ninox punctulata
New Ireland Boobook,Ninox variegata
New Britain Boobook,Ninox odiosa
Collared Owlet,Taenioptynx brodiei
Sunda Owlet,Taenioptynx sylvaticus
Long-whiskered Owlet,Xenoglaux loweryi
Elf Owl,Micrathene whitneyi
Boreal Owl,Aegolius funereus
Northern Saw-whet Owl,Aegolius acadicus
Unspotted Saw-whet Owl,Aegolius ridgwayi
Buff-fronted Owl,Aegolius harrisii
Forest Owlet,Athene blewitti
White-browed Owl,Athene superciliaris
Burrowing Owl,Athene cunicularia
Little Owl,Athene noctua
Spotted Owlet,Athene brama
West Solomons Owl,Athene jacquinoti
Guadalcanal Owl,Athene granti
Malaita Owl,Athene malaitae
Makira Owl,Athene roseoaxillaris
Northern Hawk-Owl,Surnia ulula
Eurasian Pygmy Owl,Glaucidium passerinum
Pearl-spotted Owlet,Glaucidium perlatum
Northern Pygmy Owl,Glaucidium gnoma
Costa Rican Pygmy Owl,Glaucidium costaricanum
Cloud-forest Pygmy Owl,Glaucidium nubicola
Andean Pygmy Owl,Glaucidium jardinii
Yungas Pygmy Owl,Glaucidium bolivianum
Subtropical Pygmy Owl,Glaucidium parkeri
Central American Pygmy Owl,Glaucidium griseiceps
Tamaulipas Pygmy Owl,Glaucidium sanchezi
Colima Pygmy Owl,Glaucidium palmarum
Amazonian Pygmy Owl,Glaucidium hardyi
East Brazilian Pygmy Owl,Glaucidium minutissimum
Ferruginous Pygmy Owl,Glaucidium brasilianum
Austral Pygmy Owl,Glaucidium nana
Pacific Pygmy Owl,Glaucidium peruanum
Cuban Pygmy Owl,Glaucidium siju
Red-chested Owlet,Glaucidium tephronotum
Sj枚stedt's Barred Owlet,Glaucidium sjostedti
Asian Barred Owlet,Glaucidium cuculoides
Javan Owlet,Glaucidium castanopterum
Jungle Owlet,Glaucidium radiatum
Chestnut-backed Owlet,Glaucidium castanotum
African Barred Owlet,Glaucidium capense
Albertine Owlet,Glaucidium albertinum
White-fronted Scops Owl,Otus sagittatus
Andaman Scops Owl,Otus balli
Reddish Scops Owl,Otus rufescens
Serendib Scops Owl,Otus thilohoffmanni
Sandy Scops Owl,Otus icterorhynchus
Sokoke Scops Owl,Otus ireneae
Flores Scops Owl,Otus alfredi
Mountain Scops Owl,Otus spilocephalus
Rajah Scops Owl,Otus brookii
Javan Scops Owl,Otus angelinae
Mentawai Scops Owl,Otus mentawi
Indian Scops Owl,Otus bakkamoena
Collared Scops Owl,Otus lettia
Giant Scops Owl,Otus gurneyi
Sunda Scops Owl,Otus lempiji
Japanese Scops Owl,Otus semitorques
Wallace's Scops Owl,Otus silvicola
Palawan Scops Owl,Otus fuliginosus
Philippine Scops Owl,Otus megalotis
Everett's Scops Owl,Otus everetti
Negros Scops Owl,Otus nigrorum
Mindoro Scops Owl,Otus mindorensis
Moluccan Scops Owl,Otus magicus
Wetar Scops Owl,Otus tempestatis
Rinjani Scops Owl,Otus jolandae
Palau Scops Owl,Otus podarginus
Mantanani Scops Owl,Otus mantananensis
Ryukyu Scops Owl,Otus elegans
Sulawesi Scops Owl,Otus manadensis
Banggai Scops Owl,Otus mendeni
Sangihe Scops Owl,Otus collari
Sula Scops Owl,Otus sulaensis
Biak Scops Owl,Otus beccarii
Simeulue Scops Owl,Otus umbra
Enggano Scops Owl,Otus enganensis
Nicobar Scops Owl,Otus alius
Arabian Scops Owl,Otus pamelae
Eurasian Scops Owl,Otus scops
Cyprus Scops Owl,Otus cyprius
Principe Scops Owl,Otus bikegila
Pemba Scops Owl,Otus pembaensis
Sao Tome Scops Owl,Otus hartlaubi
African Scops Owl,Otus senegalensis
Pallid Scops Owl,Otus brucei
Mindanao Scops Owl,Otus mirus
Luzon Scops Owl,Otus longicornis
Moheli Scops Owl,Otus moheliensis
Karthala Scops Owl,Otus pauliani
Seychelles Scops Owl,Otus insularis
Oriental Scops Owl,Otus sunia
Socotra Scops Owl,Otus socotranus
Anjouan Scops Owl,Otus capnodes
Mayotte Scops Owl,Otus mayottensis
Madagascar Scops Owl,Otus rutilus
Northern White-faced Owl,Ptilopsis leucotis
Southern White-faced Owl,Ptilopsis granti
Fearful Owl,Asio solomonensis
Marsh Owl,Asio capensis
Short-eared Owl,Asio flammeus
Stygian Owl,Asio stygius
Striped Owl,Asio clamator
Jamaican Owl,Asio grammicus
Madagascar Owl,Asio madagascariensis
Abyssinian Owl,Asio abyssinicus
Long-eared Owl,Asio otus
Maned Owl,Jubula lettii
Snowy Owl,Bubo scandiacus
Lesser Horned Owl,Bubo magellanicus
Great Horned Owl,Bubo virginianus
Cape Eagle-Owl,Bubo capensis
Pharaoh Eagle-Owl,Bubo ascalaphus
Eurasian Eagle-Owl,Bubo bubo
Indian Eagle-Owl,Bubo bengalensis
Greyish Eagle-Owl,Bubo cinerascens
Spotted Eagle-Owl,Bubo africanus
Arabian Eagle-Owl,Bubo milesi
Pel's Fishing Owl,Scotopelia peli
Rufous Fishing Owl,Scotopelia ussheri
Vermiculated Fishing Owl,Scotopelia bouvieri
Fraser's Eagle-Owl,Ketupa poensis
Akun Eagle-Owl,Ketupa leucosticta
Verreaux's Eagle-Owl,Ketupa lactea
Shelley's Eagle-Owl,Ketupa shelleyi
Blakiston's Fish Owl,Ketupa blakistoni
Buffy Fish Owl,Ketupa ketupu
Brown Fish Owl,Ketupa zeylonensis
Tawny Fish Owl,Ketupa flavipes
Dusky Eagle-Owl,Ketupa coromanda
Spot-bellied Eagle-Owl,Ketupa nipalensis
Barred Eagle-Owl,Ketupa sumatrana
Philippine Eagle-Owl,Ketupa philippensis
Flammulated Owl,Psiloscops flammeolus
Puerto Rican Owl,Gymnasio nudipes
Bare-shanked Screech Owl,Megascops clarkii
Whiskered Screech Owl,Megascops trichopsis
White-throated Screech Owl,Megascops albogularis
Tropical Screech Owl,Megascops choliba
Koepcke's Screech Owl,Megascops koepckeae
Rufescent Screech Owl,Megascops ingens
Cinnamon Screech Owl,Megascops petersoni
Cloud-forest Screech Owl,Megascops marshalli
Yungas Screech Owl,Megascops hoyi
Middle American Screech Owl,Megascops guatemalae
Choco Screech Owl,Megascops centralis
Foothill Screech Owl,Megascops roraimae
Long-tufted Screech Owl,Megascops sanctaecatarinae
Bearded Screech Owl,Megascops barbarus
Balsas Screech Owl,Megascops seductus
Pacific Screech Owl,Megascops cooperi
Western Screech Owl,Megascops kennicottii
Eastern Screech Owl,Megascops asio
Santa Marta Screech Owl,Megascops gilesi
West Peruvian Screech Owl,Megascops roboratus
Tawny-bellied Screech Owl,Megascops watsonii
Black-capped Screech Owl,Megascops atricapilla
Crested Owl,Lophostrix cristata
Spectacled Owl,Pulsatrix perspicillata
Tawny-browed Owl,Pulsatrix koeniswaldiana
Band-bellied Owl,Pulsatrix melanota
Mottled Owl,Strix virgata
Black-and-white Owl,Strix nigrolineata
Black-banded Owl,Strix huhula
Rufous-banded Owl,Strix albitarsis
Spotted Wood Owl,Strix seloputo
Mottled Wood Owl,Strix ocellata
Brown Wood Owl,Strix leptogrammica
Tawny Owl,Strix aluco
Himalayan Owl,Strix nivicolum
Desert Owl,Strix hadorami
Omani Owl,Strix butleri
Spotted Owl,Strix occidentalis
Barred Owl,Strix varia
Cinereous Owl,Strix sartorii
Fulvous Owl,Strix fulvescens
Rusty-barred Owl,Strix hylophila
Rufous-legged Owl,Strix rufipes
Chaco Owl,Strix chacoensis
Ural Owl,Strix uralensis
Great Grey Owl,Strix nebulosa
African Wood Owl,Strix woodfordii
King Vulture,Sarcoramphus papa
Andean Condor,Vultur gryphus
Black Vulture,Coragyps atratus
Turkey Vulture,Cathartes aura
Lesser Yellow-headed Vulture,Cathartes burrovianus
Greater Yellow-headed Vulture,Cathartes melambrotus
Secretarybird,Sagittarius serpentarius
Osprey,Pandion haliaetus
Pearl Kite,Gampsonyx swainsonii
Scissor-tailed Kite,Chelictinia riocourii
White-tailed Kite,Elanus leucurus
Black-winged Kite,Elanus caeruleus
Black-shouldered Kite,Elanus axillaris
Letter-winged Kite,Elanus scriptus
Madagascar Harrier-Hawk,Polyboroides radiatus
African Harrier-Hawk,Polyboroides typus
Palm-nut Vulture,Gypohierax angolensis
Bearded Vulture,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
Madagascar Serpent Eagle,Eutriorchis astur
White-collared Kite,Leptodon forbesi
Grey-headed Kite,Leptodon cayanensis
Hook-billed Kite,Chondrohierax uncinatus
African Cuckoo-Hawk,Aviceda cuculoides
Madagascar Cuckoo-Hawk,Aviceda madagascariensis
Jerdon's Baza,Aviceda jerdoni
Pacific Baza,Aviceda subcristata
Black Baza,Aviceda leuphotes
European Honey Buzzard,Pernis apivorus
Crested Honey Buzzard,Pernis ptilorhynchus
Barred Honey Buzzard,Pernis celebensis
Philippine Honey Buzzard,Pernis steerei
Swallow-tailed Kite,Elanoides forficatus
Black-breasted Buzzard,Hamirostra melanosternon
Square-tailed Kite,Lophoictinia isura
Long-tailed Honey Buzzard,Henicopernis longicauda
Black Honey Buzzard,Henicopernis infuscatus
Red-headed Vulture,Sarcogyps calvus
White-headed Vulture,Trigonoceps occipitalis
Cinereous Vulture,Aegypius monachus
Lappet-faced Vulture,Torgos tracheliotos
Hooded Vulture,Necrosyrtes monachus
White-rumped Vulture,Gyps bengalensis
Himalayan Vulture,Gyps himalayensis
White-backed Vulture,Gyps africanus
Indian Vulture,Gyps indicus
Slender-billed Vulture,Gyps tenuirostris
Cape Vulture,Gyps coprotheres
Griffon Vulture,Gyps fulvus
R眉ppell's Vulture,Gyps rueppelli
Great Nicobar Serpent Eagle,Spilornis klossi
Sulawesi Serpent Eagle,Spilornis rufipectus
Mountain Serpent Eagle,Spilornis kinabaluensis
Crested Serpent Eagle,Spilornis cheela
Philippine Serpent Eagle,Spilornis holospilus
Andaman Serpent Eagle,Spilornis elgini
Philippine Eagle,Pithecophaga jefferyi
Bateleur,Terathopius ecaudatus
Southern Banded Snake Eagle,Circaetus fasciolatus
Western Banded Snake Eagle,Circaetus cinerascens
Congo Serpent Eagle,Circaetus spectabilis
Beaudouin's Snake Eagle,Circaetus beaudouini
Black-chested Snake Eagle,Circaetus pectoralis
Brown Snake Eagle,Circaetus cinereus
Short-toed Snake Eagle,Circaetus gallicus
Crowned Eagle,Stephanoaetus coronatus
Wallace's Hawk-Eagle,Nisaetus nanus
Legge's Hawk-Eagle,Nisaetus kelaarti
Mountain Hawk-Eagle,Nisaetus nipalensis
Blyth's Hawk-Eagle,Nisaetus alboniger
Javan Hawk-Eagle,Nisaetus bartelsi
Sulawesi Hawk-Eagle,Nisaetus lanceolatus
Pinsker's Hawk-Eagle,Nisaetus pinskeri
Philippine Hawk-Eagle,Nisaetus philippensis
Changeable Hawk-Eagle,Nisaetus cirrhatus
Flores Hawk-Eagle,Nisaetus floris
Black Hawk-Eagle,Spizaetus tyrannus
Black-and-white Hawk-Eagle,Spizaetus melanoleucus
Ornate Hawk-Eagle,Spizaetus ornatus
Black-and-chestnut Eagle,Spizaetus isidori
Rufous-bellied Eagle,Lophotriorchis kienerii
Martial Eagle,Polemaetus bellicosus
Long-crested Eagle,Lophaetus occipitalis
Black Eagle,Ictinaetus malaiensis
Indian Spotted Eagle,Clanga hastata
Greater Spotted Eagle,Clanga clanga
Lesser Spotted Eagle,Clanga pomarina
Wahlberg's Eagle,Hieraaetus wahlbergi
Ayres's Hawk-Eagle,Hieraaetus ayresii
Pygmy Eagle,Hieraaetus weiskei
Booted Eagle,Hieraaetus pennatus
Little Eagle,Hieraaetus morphnoides
Steppe Eagle,Aquila nipalensis
Tawny Eagle,Aquila rapax
Eastern Imperial Eagle,Aquila heliaca
Spanish Imperial Eagle,Aquila adalberti
Cassin's Hawk-Eagle,Aquila africana
Gurney's Eagle,Aquila gurneyi
Wedge-tailed Eagle,Aquila audax
Golden Eagle,Aquila chrysaetos
Verreaux's Eagle,Aquila verreauxii
African Hawk-Eagle,Aquila spilogaster
Bonelli's Eagle,Aquila fasciata
Papuan Eagle,Harpyopsis novaeguineae
Bat Hawk,Macheiramphus alcinus
Harpy Eagle,Harpia harpyja
Crested Eagle,Morphnus guianensis
Sulawesi Goshawk,Lophospiza griseiceps
Crested Goshawk,Lophospiza trivirgata
Gabar Goshawk,Micronisus gabar
Long-tailed Hawk,Urotriorchis macrourus
Dark Chanting Goshawk,Melierax metabates
Eastern Chanting Goshawk,Melierax poliopterus
Pale Chanting Goshawk,Melierax canorus
Lizard Buzzard,Kaupifalco monogrammicus
Chestnut-flanked Sparrowhawk,Aerospiza castanilius
African Goshawk,Aerospiza tachiro
Red-thighed Sparrowhawk,Tachyspiza erythropus
Little Sparrowhawk,Tachyspiza minulla
Besra,Tachyspiza virgata
Dwarf Sparrowhawk,Tachyspiza nanus
Rufous-necked Sparrowhawk,Tachyspiza erythrauchen
Collared Sparrowhawk,Tachyspiza cirrocephala
New Britain Sparrowhawk,Tachyspiza brachyura
Vinous-breasted Sparrowhawk,Tachyspiza rhodogaster
Japanese Sparrowhawk,Tachyspiza gularis
Shikra,Tachyspiza badia
Nicobar Sparrowhawk,Tachyspiza butleri
Levant Sparrowhawk,Tachyspiza brevipes
Chinese Sparrowhawk,Tachyspiza soloensis
Imitator Goshawk,Tachyspiza imitator
Frances's Sparrowhawk,Tachyspiza francesiae
Spot-tailed Sparrowhawk,Tachyspiza trinotata
Grey-headed Goshawk,Tachyspiza poliocephala
New Britain Goshawk,Tachyspiza princeps
Grey Goshawk,Tachyspiza novaehollandiae
Variable Goshawk,Tachyspiza hiogaster
Black-mantled Goshawk,Tachyspiza melanochlamys
Pied Goshawk,Tachyspiza albogularis
Fiji Goshawk,Tachyspiza rufitorques
Moluccan Goshawk,Tachyspiza henicogramma
Slaty-mantled Goshawk,Tachyspiza luteoschistacea
White-bellied Goshawk,Tachyspiza haplochrous
Brown Goshawk,Tachyspiza fasciata
Red Goshawk,Erythrotriorchis radiatus
Chestnut-shouldered Goshawk,Erythrotriorchis buergersi
Grey-bellied Hawk,Accipiter poliogaster
Madagascar Sparrowhawk,Accipiter madagascariensis
Ovambo Sparrowhawk,Accipiter ovampensis
Sharp-shinned Hawk,Accipiter striatus
Rufous-breasted Sparrowhawk,Accipiter rufiventris
Eurasian Sparrowhawk,Accipiter nisus
Cooper's Hawk,Astur cooperii
Gundlach's Hawk,Astur gundlachi
Chilean Hawk,Astur chilensis
Bicolored Hawk,Astur bicolor
American Goshawk,Astur atricapillus
Meyer's Goshawk,Astur meyerianus
Eurasian Goshawk,Astur gentilis
Henst's Goshawk,Astur henstii
Black Sparrowhawk,Astur melanoleucus
Doria's Hawk,Megatriorchis doriae
Spotted Harrier,Circus assimilis
Pallid Harrier,Circus macrourus
Black Harrier,Circus maurus
Hen Harrier,Circus cyaneus
Northern Harrier,Circus hudsonius
Cinereous Harrier,Circus cinereus
Long-winged Harrier,Circus buffoni
Montagu's Harrier,Circus pygargus
Pied Harrier,Circus melanoleucos
African Marsh Harrier,Circus ranivorus
Western Marsh Harrier,Circus aeruginosus
Reunion Harrier,Circus maillardi
Malagasy Harrier,Circus macrosceles
Swamp Harrier,Circus approximans
Eastern Marsh Harrier,Circus spilonotus
Papuan Harrier,Circus spilothorax
Rufous-thighed Kite,Harpagus diodon
Double-toothed Kite,Harpagus bidentatus
Semicollared Hawk,Microspizias collaris
Tiny Hawk,Microspizias superciliosus
Whistling Kite,Haliastur sphenurus
Brahminy Kite,Haliastur indus
Red Kite,Milvus milvus
Black Kite,Milvus migrans
Pallas's Fish Eagle,Haliaeetus leucoryphus
Steller's Sea Eagle,Haliaeetus pelagicus
White-tailed Eagle,Haliaeetus albicilla
Bald Eagle,Haliaeetus leucocephalus
African Fish Eagle,Icthyophaga vocifer
Madagascar Fish Eagle,Icthyophaga vociferoides
White-bellied Sea Eagle,Icthyophaga leucogaster
Sanford's Sea Eagle,Icthyophaga sanfordi
Lesser Fish Eagle,Icthyophaga humilis
Grey-headed Fish Eagle,Icthyophaga ichthyaetus
Rufous-winged Buzzard,Butastur liventer
Grasshopper Buzzard,Butastur rufipennis
Grey-faced Buzzard,Butastur indicus
White-eyed Buzzard,Butastur teesa
Plumbeous Kite,Ictinia plumbea
Mississippi Kite,Ictinia mississippiensis
Crane Hawk,Geranospiza caerulescens
Black-collared Hawk,Busarellus nigricollis
Slender-billed Kite,Helicolestes hamatus
Snail Kite,Rostrhamus sociabilis
Barred Hawk,Morphnarchus princeps
Plumbeous Hawk,Cryptoleucopteryx plumbea
Slate-colored Hawk,Buteogallus schistaceus
Common Black Hawk,Buteogallus anthracinus
Cuban Black Hawk,Buteogallus gundlachii
Rufous Crab Hawk,Buteogallus aequinoctialis
Savanna Hawk,Buteogallus meridionalis
White-necked Hawk,Buteogallus lacernulatus
Great Black Hawk,Buteogallus urubitinga
Solitary Eagle,Buteogallus solitarius
Chaco Eagle,Buteogallus coronatus
Roadside Hawk,Rupornis magnirostris
White-rumped Hawk,Parabuteo leucorrhous
Harris's Hawk,Parabuteo unicinctus
Grey-backed Hawk,Pseudastur occidentalis
White Hawk,Pseudastur albicollis
Mantled Hawk,Pseudastur polionotus
White-tailed Hawk,Geranoaetus albicaudatus
Variable Hawk,Geranoaetus polyosoma
Black-chested Buzzard-Eagle,Geranoaetus melanoleucus
Semiplumbeous Hawk,Leucopternis semiplumbeus
Black-faced Hawk,Leucopternis melanops
White-browed Hawk,Leucopternis kuhli
Grey Hawk,Buteo plagiatus
Grey-lined Hawk,Buteo nitidus
Broad-winged Hawk,Buteo platypterus
Ridgway's Hawk,Buteo ridgwayi
Red-shouldered Hawk,Buteo lineatus
Zone-tailed Hawk,Buteo albonotatus
Hawaiian Hawk,Buteo solitarius
White-throated Hawk,Buteo albigula
Short-tailed Hawk,Buteo brachyurus
Galapagos Hawk,Buteo galapagoensis
Swainson's Hawk,Buteo swainsoni
Rufous-tailed Hawk,Buteo ventralis
Red-tailed Hawk,Buteo jamaicensis
Ferruginous Hawk,Buteo regalis
Rough-legged Buzzard,Buteo lagopus
Red-necked Buzzard,Buteo auguralis
Jackal Buzzard,Buteo rufofuscus
Augur Buzzard,Buteo augur
Mountain Buzzard,Buteo oreophilus
Forest Buzzard,Buteo trizonatus
Common Buzzard,Buteo buteo
Madagascar Buzzard,Buteo brachypterus
Socotra Buzzard,Buteo socotraensis
Upland Buzzard,Buteo hemilasius
Long-legged Buzzard,Buteo rufinus
Himalayan Buzzard,Buteo refectus
Eastern Buzzard,Buteo japonicus
Red-faced Mousebird,Urocolius indicus
Blue-naped Mousebird,Urocolius macrourus
Speckled Mousebird,Colius striatus
White-headed Mousebird,Colius leucocephalus
Red-backed Mousebird,Colius castanotus
White-backed Mousebird,Colius colius
Cuckoo-roller,Leptosomus discolor
Narina Trogon,Apaloderma narina
Bare-cheeked Trogon,Apaloderma aequatoriale
Bar-tailed Trogon,Apaloderma vittatum
Javan Trogon,Apalharpactes reinwardtii
Sumatran Trogon,Apalharpactes mackloti
Orange-breasted Trogon,Harpactes oreskios
Malabar Trogon,Harpactes fasciatus
Red-naped Trogon,Harpactes kasumba
Diard's Trogon,Harpactes diardii
Philippine Trogon,Harpactes ardens
Whitehead's Trogon,Harpactes whiteheadi
Cinnamon-rumped Trogon,Harpactes orrhophaeus
Scarlet-rumped Trogon,Harpactes duvaucelii
Red-headed Trogon,Harpactes erythrocephalus
Ward's Trogon,Harpactes wardi
Eared Quetzal,Euptilotis neoxenus
Pavonine Quetzal,Pharomachrus pavoninus
Golden-headed Quetzal,Pharomachrus auriceps
Resplendent Quetzal,Pharomachrus mocinno
White-tipped Quetzal,Pharomachrus fulgidus
Crested Quetzal,Pharomachrus antisianus
Hispaniolan Trogon,Priotelus roseigaster
Cuban Trogon,Priotelus temnurus
Lattice-tailed Trogon,Trogon clathratus
Slaty-tailed Trogon,Trogon massena
Choco Trogon,Trogon comptus
Ecuadorian Trogon,Trogon mesurus
Black-tailed Trogon,Trogon melanurus
Black-headed Trogon,Trogon melanocephalus
Citreoline Trogon,Trogon citreolus
White-tailed Trogon,Trogon chionurus
Green-backed Trogon,Trogon viridis
Baird's Trogon,Trogon bairdii
Gartered Trogon,Trogon caligatus
Guianan Trogon,Trogon violaceus
Amazonian Trogon,Trogon ramonianus
Blue-crowned Trogon,Trogon curucui
Surucua Trogon,Trogon surrucura
Graceful Black-throated Trogon,Trogon tenellus
Choco Black-throated Trogon,Trogon cupreicauda
Amazonian Black-throated Trogon,Trogon rufus
Atlantic Black-throated Trogon,Trogon chrysochloros
Elegant Trogon,Trogon elegans
Coppery-tailed Trogon,Trogon ambiguus
Mountain Trogon,Trogon mexicanus
Collared Trogon,Trogon collaris
Masked Trogon,Trogon personatus
Common Hoopoe,Upupa epops
Madagascar Hoopoe,Upupa marginata
Forest Wood Hoopoe,Rhinopomastus castaneiceps
Black Scimitarbill,Rhinopomastus aterrimus
Common Scimitarbill,Rhinopomastus cyanomelas
Abyssinian Scimitarbill,Rhinopomastus minor
Green Wood Hoopoe,Phoeniculus purpureus
Violet Wood Hoopoe,Phoeniculus damarensis
Black-billed Wood Hoopoe,Phoeniculus somaliensis
White-headed Wood Hoopoe,Phoeniculus bollei
Abyssinian Ground Hornbill,Bucorvus abyssinicus
Southern Ground Hornbill,Bucorvus leadbeateri
Red-billed Dwarf Hornbill,Lophoceros camurus
Crowned Hornbill,Lophoceros alboterminatus
Bradfield's Hornbill,Lophoceros bradfieldi
West African Pied Hornbill,Lophoceros semifasciatus
Congo Pied Hornbill,Lophoceros fasciatus
Hemprich's Hornbill,Lophoceros hemprichii
African Grey Hornbill,Lophoceros nasutus
Pale-billed Hornbill,Lophoceros pallidirostris
Eastern Yellow-billed Hornbill,Tockus flavirostris
